ID,Movie Name,Rating(10),Votes,Genre,Language
tt1032225,The People vs. Lyari Expressway,2.5,13,"Documentary, Short            ",urdu
tt4147800, Humsafar,8.5,21,"Drama, Romance            ",urdu
tt2243456,Tukkaa Fitt,6.5,13,Drama            ,hindi
tt1313227,Aanchal Ke Phool,5.7,6,Drama            ,hindi
tt1572311,Tees Maar Khan,2.6,"11,634","Comedy, Crime            ",hindi
tt0246839,Papa Kahte Hain,4.8,203,Comedy            ,hindi
tt0069759,Bada Kabutar,5.0,22,"Action, Comedy, Crime            ",hindi
tt8956398,Mr. & Ms. Rowdy,4.4,181,"Comedy, Thriller            ",malayalam
tt2564706,Television,8.2,"4,938",Drama            ,bengali
tt3369694,Anjala,5.3,54,Comedy            ,tamil
tt1727535,Rakhta Charitra 2,6.4,"2,540","Action, Biography, Crime            ",telugu
tt3566784,Dho Dala: The Sin Washer,8.5,21,"Short, Drama, Mystery            ",urdu
tt1579526,Anjaneyulu,4.8,317,"Action, Comedy, Crime            ",telugu
tt0230347,Jaanwar,5.9,"2,541","Action, Crime, Drama            ",hindi
tt7632594,Mehram,8.4,25,Short            ,urdu
tt0353519,Grihaprevesam,5.7,20,Drama            ,malayalam
tt0231867,Kanch Kata Hirey,7.5,18,Drama            ,bengali
tt6984704,Kadhal Kan Kattudhe,6.5,65,"Drama, Romance            ",tamil
tt4954590,Extra Or Extraordinary,9.8,5,Drama            ,marathi
tt0360227,Zakhmo Ka Hisaab,4.8,31,"Action, Crime, Drama            ",hindi
tt6908964,Do Qadam Dur Thay,8.1,25,"Drama, Family, Romance            ",oriya
tt1580014,Rajavari Chepala Cheruvu,6.9,17,Drama            ,telugu
tt1073653,Alibhai,3.2,287,Action            ,malayalam
tt0495893,Shikaar,3.7,26,"Action, Mystery            ",hindi
tt0168849,Hathi,7.2,60,Drama            ,oriya
tt1095421,Ramchand Pakistani,7.6,"1,225",Drama            ,oriya
tt0047438,Sadanander Mela,7.3,25,Drama            ,bengali
tt8333790,Neeya 2,2.7,112,"Horror, Romance            ",tamil
tt1455120,Karim vs. Karachi,9.0,6,"Short, Adventure, Drama            ",oriya
tt0237478,Mushkil,5.6,49,"Drama, Fantasy, Mystery            ",urdu
tt13485172,Gaali Sampath,7.4,"1,515",Drama            ,telugu
tt1388434,Dhaam Dhoom,4.6,457,"Action, Drama, Thriller            ",tamil
tt1575648,O Chinadaana,6.6,25,Romance            ,telugu
tt8085460,Malinteso,6.6,8,"Short, Comedy            ",malayalam
tt1483820,Aadhavan,5.3,"2,803","Action, Comedy            ",tamil
tt6567396,Yaman,6.2,483,"Action, Drama, Thriller            ",telugu
tt1810522,Aalwar,3.1,833,Action            ,tamil
tt5584778,Ramasakkani Rakumarudu,5.6,7,"Comedy, Drama, Family            ",telugu
tt6879472,Yeidhavan,5.9,116,"Action, Crime, Drama            ",tamil
tt5375500, Mann Mayal,8.6,68,"Drama, Romance            ",urdu
tt11497366,Vanmurai,5.0,17,Drama            ,tamil
tt7231194,R.I.P.,8.3,"2,999","Comedy, Drama            ",malayalam
tt0273465,Bhuvana Oru Kelvikkuri,7.3,62,"Drama, Romance            ",tamil
tt7125262,Shamantakamani,6.9,421,Drama            ,telugu
tt2294475,Alegalu,7.9,23,"Action, Adventure, Drama            ",kannada
tt0245825,Chal Mere Bhai,4.7,"2,933","Comedy, Romance            ",hindi
tt4354566,The Lost Salesman of Delhi,7.9,39,"Adventure, Drama, Mystery            ",hindi
tt6203302,The Villain,5.5,"1,601","Action, Thriller            ",kannada
tt0925081,Game,5.0,"1,091",Thriller            ,telugu
tt9081232,Operation Gold Fish,4.5,210,"Action, Thriller            ",telugu
tt0322814,Jallian Wala Bagh,7.1,32,History            ,hindi
tt0420230,Swarabhishekam,6.5,42,Music            ,kannada
tt0155601,Chamaram,6.7,27,"Drama, Romance            ",malayalam
tt7165454,Podhuvaga En Manasu Thangam,3.7,120,"Comedy, Romance            ",tamil
tt6688018,Pokkiri Simon: Oru Kadutha Aaradhakan,4.8,268,Comedy            ,malayalam
tt11767552,O Pitta Katha,6.9,417,"Drama, Thriller            ",telugu
tt1579977,Modati Cinima,4.9,28,Drama            ,telugu
tt1409088,Ek Bar Bolo Uttam Kumar,7.7,13,Comedy            ,bengali
tt3651028,Yellow,8.3,68,"Drama, Family, Sport            ",marathi
tt5928576,Wah Taj,5.3,112,Drama            ,hindi
tt0152836,Taal,6.7,"5,013","Drama, Musical, Romance            ",tamil
tt0207222,Yamagola,6.7,114,"Comedy, Fantasy, Romance            ",telugu
tt0385351,Yeh Lamhe Judaai Ke,3.7,"1,611","Drama, Mystery, Romance            ",hindi
tt4899308,Pelli Peetalu,6.1,8,Romance            ,telugu
tt9680180,Baccha shoshur,5.4,209,Drama            ,bengali
tt9332734,Ippozhum Eppozhum Sthuthiyayirikatte,7.2,6,Drama            ,malayalam
tt0262539,Katakatala Rudraiah,7.7,9,"Action, Drama            ",telugu
tt0256719,Devadasu,7.4,249,"Drama, Family, Musical            ",telugu
tt10908516,Poovalliyum Kunjadum,3.6,5,Drama            ,malayalam
tt12871246, Churails,8.5,46,"Drama, Mystery, Thriller            ",urdu
tt7256924,Kalari,5.0,41,"Action, Thriller            ",tamil
tt0176313,Vallah Kya Baat Hai,7.0,35,"Action, Crime, Drama            ",urdu
tt0260155,Mahakaal,4.4,240,"Comedy, Horror            ",hindi
tt4125900, Humsafar,8.7,22,"Drama, Romance            ",urdu
tt1326149,Jeevan Ki Shatranj,5.0,10,"Action, Comedy, Crime            ",hindi
tt0308280,Friends,7.5,"2,348","Drama, Comedy, Romance            ",tamil
tt0280447,Auto Raja,8.1,45,Drama            ,kannada
tt0302952,Putt Jattan De,7.5,67,"Action, Comedy, Drama            ",punjabi
tt7639236,Hostel Days,6.6,10,"Drama, Musical            ",marathi
tt7754486,Manasuku Nachindhi,6.2,88,Romance            ,telugu
tt0119285,Hero No. 1,6.1,"2,668","Comedy, Drama, Musical            ",hindi
tt2559178,Bhoyongkor Bishu,6.0,13,Action            ,bengali
tt0282660,Kinnara Thumbikal,6.1,55,"Drama, Romance            ",malayalam
tt0240849,Rao Saheb,5.7,7,"Comedy, Drama            ",hindi
tt8774768,Nandanavanam 120 kms,7.1,15,"Drama, Horror, Mystery            ",telugu
tt8743090,Ilayaraja,7.9,298,Drama            ,malayalam
tt5438308,Speedunnodu,4.5,223,"Comedy, Romance            ",telugu
tt1029314,Ho Sakta Hai!,6.2,44,"Crime, Horror, Thriller            ",hindi
tt5784452,Ghost Villa,2.4,12,Horror            ,malayalam
tt0485268,Pudhiya Mugam,6.3,106,"Action, Drama, Thriller            ",tamil
tt0271417,Carnival,5.7,42,"Comedy, Drama            ",malayalam
tt0064915,Saat Hindustani,6.5,198,"Action, Adventure, Drama            ",konkani
tt1087856,Hello,3.3,"1,900","Drama, Romance            ",hindi
tt3378470,Sillunu Oru Sandhippu,3.3,14,Romance            ,tamil
tt4190244,Seizer,6.9,8,"Action, Romance, Thriller            ",kannada
tt0092033,Swati,6.7,98,Drama            ,hindi
tt1252562,Khushboo: The Fragraance of Love,3.7,23,"Comedy, Drama, Romance            ",hindi
tt4907264,Shivaji the Real Hero,4.5,25,Action            ,marathi
tt12402256,Dhrusti,4.8,5,Thriller            ,telugu
tt1825708,Challenge,8.1,7,Action            ,nepali
tt10133460,Panchamirtham,7.1,7,Comedy            ,hindi
tt2298990,Life is Beautiful,6.4,738,"Drama, Romance            ",telugu
tt1397491,Abar Asbo Phire,7.5,33,"Drama, Thriller            ",bengali
tt1523526,Pankhiraj,7.7,6,Drama            ,bengali
tt2066925,Mummy Punjabi: Superman Ki Bhi Maa!!,4.9,40,"Comedy, Drama            ",hindi
tt5643482,Nekabbarer Mohaproyan,7.0,21,Drama            ,bengali
tt0286803,Main Solah Baras Ki,4.6,39,"Musical, Romance            ",hindi
tt8139010,Mantr,7.2,9,Drama            ,marathi
tt2507728,Cinema Company,5.7,93,"Comedy, Drama, Romance            ",malayalam
tt10883302,Roberrt,6.3,"2,246",Action            ,kannada
tt0213611,Dharam Veer,6.7,695,"Action, Adventure, Comedy            ",hindi
tt0371922,Saaya,5.8,899,"Drama, Fantasy, Mystery            ",hindi
tt0293858,Maavichiguru,6.3,52,Drama            ,telugu
tt0115171,Familiesagaen De syv søstre,4.3,178,"Drama, Romance            ",urdu
tt0482240,Naamcheen,4.8,10,"Crime, Drama            ",hindi
tt8848374,Daal Bhat Tarkari,3.8,42,Comedy            ,nepali
tt5782250,Nawab Sirajuddaula,7.5,12,History            ,bengali
tt5578722,Pinneyum,7.1,89,"Drama, Family, Romance            ",malayalam
tt1612036,Sontham,7.1,119,Action            ,telugu
tt0382866,Nala Damayanthi,7.1,552,Comedy            ,tamil
tt0391165,Dudes in the 10th Century,4.6,836,Comedy            ,hindi
tt0273089,Apparao Ki Oka Nela Thappindi,6.0,7,Comedy            ,telugu
tt1003290,Savarkhed: Ek Gaav,7.2,197,"Crime, Drama, Thriller            ",marathi
tt0149345,Waris,5.9,48,"Comedy, Drama            ",hindi
tt0292019,Iniyum Kurukshethram,5.7,16,"Action, Crime, Thriller            ",malayalam
tt0287152,Yamraaj,5.7,54,"Action, Drama            ",hindi
tt3112990,Bhalobasa Aaj Kal,6.3,143,"Comedy, Romance            ",bengali
tt0154463,Ethiroli,7.4,25,"Drama, Thriller            ",tamil
tt10178860,Miranda House,3.7,11,Drama            ,marathi
tt7582978,Savaari,7.9,11,Drama            ,malayalam
tt1311089,Seenu Vasanthi Lakshmi,5.3,21,Drama            ,telugu
tt0362111,'Sambandh',6.6,16,"Drama, Family            ",hindi
tt0378645,Ram Ki Ganga,5.7,6,Drama            ,hindi
tt10087544,Govinda,7.0,5,Drama            ,marathi
tt1687850,Apoorvaragam,6.2,264,Drama            ,malayalam
tt3760880,The Chalbaaz,8.4,48,Action            ,hindi
tt8257434,Kaaneen: A Secret Search,8.4,8,Drama            ,assamese
tt5762180,Pushpaka Vimana,7.5,271,"Comedy, Drama, Family            ",kannada
tt0050188,Mother India,8.1,"8,664","Drama, Musical, Family            ",hindi
tt0232735,Suno Baranari,7.7,33,Drama            ,bengali
tt4959068,Emiler Goenda Bahini,8.0,44,"Adventure, Comedy, Family            ",bengali
tt0096355,Uttar Dakshin,4.7,99,"Action, Drama            ",hindi
tt4613550, Dirilis: Ertugrul,8.5,180,"Action, Adventure, Drama            ",urdu
tt7712468,Aapothkalin Trikalika,8.6,7,Drama            ,bengali
tt4219268,Jiban Niye Khela,7.6,19,Drama            ,bengali
tt1445778,Thirumbi Paar,6.3,10,"Comedy, Drama            ",tamil
tt0143202,Dahan,7.4,277,Drama            ,hindi
tt0818603,Hitler,5.5,51,Crime            ,hindi
tt6501286,Hostel Returns,5.9,29,Drama            ,nepali
tt0278426,Dr. Pasupathy,6.8,132,Comedy            ,malayalam
tt1891757,Bol,8.2,"8,624",Drama            ,oriya
tt0359324,Gharana,5.4,67,Drama            ,hindi
tt11354454,Bohomaan,3.8,34,Drama            ,bengali
tt3368222,Angry Indian Goddesses,7.0,"2,701","Comedy, Drama            ",hindi
tt2393902,Thiruthani,1.4,123,"Action, Family            ",tamil
tt0247917,Akkada Ammayi Ikkada Abbayi,5.2,625,"Action, Romance            ",telugu
